name,version,source_kind,file,line,raw
0.4,,autoconf:pkg_check_modules,languages/cpp/project/wxWidgets/configure.ac,5448,"PKG_CHECK_MODULES(..., [libnotify >= 0.4], ...)"
0.7,,autoconf:pkg_check_modules,languages/cpp/project/wxWidgets/configure.ac,5442,"PKG_CHECK_MODULES(..., [libnotify >= 0.7], ...)"
0.9.23,,autoconf:pkg_check_modules,languages/cpp/project/wxWidgets/configure.ac,3122,"PKG_CHECK_MODULES(..., [directfb >= 0.9.23], ...)"
1.2,,autoconf:pkg_check_modules,languages/cpp/project/wxWidgets/configure.ac,7455,"PKG_CHECK_MODULES(..., [cairo >= 1.2], ...)"
1.3.1,,autoconf:pkg_check_modules,languages/cpp/project/wxWidgets/configure.ac,7100,"PKG_CHECK_MODULES(..., [$webkitgtk >= 1.3.1], ...)"
1.38.0,,autoconf:pkg_check_modules,languages/cpp/project/wxWidgets/configure.ac,6846,"PKG_CHECK_MODULES(..., [fontconfig >= 2.8.0 pangoft2 >= 1.38.0], ...)"
1.4,,autoconf:pkg_check_modules,languages/cpp/project/wxWidgets/configure.ac,3485,"PKG_CHECK_MODULES(..., [egl >= 1.4], ...)"
1.7.2.1,,autoconf:pkg_check_modules,languages/cpp/project/wxWidgets/configure.ac,7551,"PKG_CHECK_MODULES(..., [gstreamer-$GST_VERSION gstreamer-video-$GST_VERSION gstreamer-player-$GST_VERSION >= 1.7.2.1], ...)"
2.0,,autoconf:pkg_check_modules,languages/cpp/project/wxWidgets/configure.ac,5423,"PKG_CHECK_MODULES(..., [gnome-vfs-2.0 >= 2.0], ...)"
2.0.0,,autoconf:pkg_check_modules,languages/cpp/project/wxWidgets/configure.ac,5365,"PKG_CHECK_MODULES(..., [sdl2 >= 2.0.0], ...)"
2.6.0,,autoconf:pkg_check_modules,languages/cpp/project/wxWidgets/configure.ac,2926,"PKG_CHECK_MODULES(..., [gtk+-2.0 >= 2.6.0], ...)"
2.8.0,,autoconf:pkg_check_modules,languages/cpp/project/wxWidgets/configure.ac,6846,"PKG_CHECK_MODULES(..., [fontconfig >= 2.8.0 pangoft2 >= 1.38.0], ...)"
3,,autoconf:pkg_check_modules,languages/cpp/project/wxWidgets/configure.ac,8415,"PKG_CHECK_MODULES(..., [catch2 < 3], ...)"
c,,cmake:find_library,languages/cpp/project/wxWidgets/build/cmake/modules/FindICONV.cmake,20,FIND_LIBRARY(ICONV_LIBRARIES NAMES iconv libiconv libiconv-2 c)
cairo,,autoconf:pkg_check_modules,languages/cpp/project/wxWidgets/configure.ac,7455,"PKG_CHECK_MODULES(..., [cairo >= 1.2], ...)"
cairo,,cmake:find_library,languages/cpp/project/wxWidgets/build/cmake/modules/FindCairo.cmake,41,FIND_LIBRARY(CAIRO_LIBRARIES NAMES cairo HINTS ${PC_CAIRO_LIBDIR} ${PC_CAIRO_LIBRARY_DIRS} )
cairo,,cmake:find_package,languages/cpp/project/wxWidgets/build/cmake/init.cmake,791,find_package(Cairo)
cairo,,cmake:pkg_check_modules,languages/cpp/project/wxWidgets/build/cmake/modules/FindCairo.cmake,32,PKG_CHECK_MODULES(PC_CAIRO QUIET cairo)
catch2,,autoconf:pkg_check_modules,languages/cpp/project/wxWidgets/configure.ac,8415,"PKG_CHECK_MODULES(..., [catch2 < 3], ...)"
curl,,cmake:find_package,languages/cpp/project/wxWidgets/build/cmake/init.cmake,368,find_package(CURL)
directfb,,autoconf:pkg_check_modules,languages/cpp/project/wxWidgets/configure.ac,3122,"PKG_CHECK_MODULES(..., [directfb >= 0.9.23], ...)"
dl,,autoconf:ac_check_lib,languages/cpp/project/wxWidgets/configure.ac,5061,"AC_CHECK_LIB(dl,"
egl,,autoconf:pkg_check_modules,languages/cpp/project/wxWidgets/configure.ac,3485,"PKG_CHECK_MODULES(..., [egl >= 1.4], ...)"
enchant,,cmake:pkg_check_modules,languages/cpp/project/wxWidgets/build/cmake/modules/FindGSPELL.cmake,23,pkg_check_modules(PC_ENCHANT QUIET enchant-2 enchant)
