owner_module,owner_file,dep_module,dep_version,indirect,decl_type,source_line
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/BurntSushi/toml,v1.6.0,false,direct,6
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Masterminds/sprig/v3,v3.2.3,false,direct,7
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/abbot/go-http-auth,v0.0.0-00010101000000-000000000000,false,direct,8
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/andybalholm/brotli,v1.1.1,false,direct,9
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/armon/go-socks5,v0.0.0-20160902184237-e75332964ef5,false,direct,10
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aws/aws-sdk-go-v2,v1.41.0,false,direct,11
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aws/aws-sdk-go-v2/config,v1.32.6,false,direct,12
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aws/aws-sdk-go-v2/credentials,v1.19.6,false,direct,13
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aws/aws-sdk-go-v2/service/ec2,v1.203.1,false,direct,14
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aws/aws-sdk-go-v2/service/ecs,v1.53.15,false,direct,15
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aws/aws-sdk-go-v2/service/ssm,v1.56.13,false,direct,16
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aws/smithy-go,v1.24.0,false,direct,17
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/cenkalti/backoff/v4,v4.3.0,false,direct,18
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/containous/alice,v0.0.0-20181107144136-d83ebdd94cbd,false,direct,19
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/coreos/go-systemd/v22,v22.5.0,false,direct,20
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/docker/cli,v28.3.3+incompatible,false,direct,21
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/docker/docker,v28.3.3+incompatible,false,direct,22
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/docker/go-connections,v0.5.0,false,direct,23
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/fatih/structs,v1.1.0,false,direct,24
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/fsnotify/fsnotify,v1.9.0,false,direct,25
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/go-acme/lego/v4,v4.31.0,false,direct,26
