ecosystem,name,version,direct,dev,purl,manifest
composer,aws/aws-crt-php,v1.2.7,false,false,pkg:composer/aws/aws-crt-php@v1.2.7,languages/php/project/coolify/composer.lock
composer,aws/aws-sdk-php,3.369.6,false,false,pkg:composer/aws/aws-sdk-php@3.369.6,languages/php/project/coolify/composer.lock
composer,bacon/bacon-qr-code,v3.0.3,false,false,pkg:composer/bacon/bacon-qr-code@v3.0.3,languages/php/project/coolify/composer.lock
composer,barryvdh/laravel-debugbar,v3.16.3,true,true,pkg:composer/barryvdh/laravel-debugbar@v3.16.3,languages/php/project/coolify/composer.lock
composer,brianium/paratest,v7.16.0,false,true,pkg:composer/brianium/paratest@v7.16.0,languages/php/project/coolify/composer.lock
composer,brick/math,0.14.1,false,false,pkg:composer/brick/math@0.14.1,languages/php/project/coolify/composer.lock
composer,carbonphp/carbon-doctrine-types,3.2.0,false,false,pkg:composer/carbonphp/carbon-doctrine-types@3.2.0,languages/php/project/coolify/composer.lock
composer,danharrin/livewire-rate-limiting,v2.1.0,true,false,pkg:composer/danharrin/livewire-rate-limiting@v2.1.0,languages/php/project/coolify/composer.lock
composer,dasprid/enum,1.0.7,false,false,pkg:composer/dasprid/enum@1.0.7,languages/php/project/coolify/composer.lock
composer,dflydev/dot-access-data,v3.0.3,false,false,pkg:composer/dflydev/dot-access-data@v3.0.3,languages/php/project/coolify/composer.lock
composer,doctrine/dbal,4.4.1,true,false,pkg:composer/doctrine/dbal@4.4.1,languages/php/project/coolify/composer.lock
composer,doctrine/deprecations,1.1.5,false,false,pkg:composer/doctrine/deprecations@1.1.5,languages/php/project/coolify/composer.lock
composer,doctrine/inflector,2.1.0,false,false,pkg:composer/doctrine/inflector@2.1.0,languages/php/project/coolify/composer.lock
composer,doctrine/lexer,3.0.1,false,false,pkg:composer/doctrine/lexer@3.0.1,languages/php/project/coolify/composer.lock
composer,dragonmantank/cron-expression,v3.6.0,false,false,pkg:composer/dragonmantank/cron-expression@v3.6.0,languages/php/project/coolify/composer.lock
composer,driftingly/rector-laravel,2.1.9,true,true,pkg:composer/driftingly/rector-laravel@2.1.9,languages/php/project/coolify/composer.lock
composer,egulias/email-validator,4.0.4,false,false,pkg:composer/egulias/email-validator@4.0.4,languages/php/project/coolify/composer.lock
composer,ezyang/htmlpurifier,v4.19.0,false,false,pkg:composer/ezyang/htmlpurifier@v4.19.0,languages/php/project/coolify/composer.lock
composer,fakerphp/faker,v1.24.1,true,true,pkg:composer/fakerphp/faker@v1.24.1,languages/php/project/coolify/composer.lock
composer,fidry/cpu-core-counter,1.3.0,false,true,pkg:composer/fidry/cpu-core-counter@1.3.0,languages/php/project/coolify/composer.lock
composer,filp/whoops,2.18.4,false,true,pkg:composer/filp/whoops@2.18.4,languages/php/project/coolify/composer.lock
composer,firebase/php-jwt,v6.11.1,false,false,pkg:composer/firebase/php-jwt@v6.11.1,languages/php/project/coolify/composer.lock
composer,fruitcake/php-cors,v1.4.0,false,false,pkg:composer/fruitcake/php-cors@v1.4.0,languages/php/project/coolify/composer.lock
composer,graham-campbell/result-type,v1.1.4,false,false,pkg:composer/graham-campbell/result-type@v1.1.4,languages/php/project/coolify/composer.lock
composer,guzzlehttp/guzzle,7.10.0,true,false,pkg:composer/guzzlehttp/guzzle@7.10.0,languages/php/project/coolify/composer.lock
composer,guzzlehttp/promises,2.3.0,false,false,pkg:composer/guzzlehttp/promises@2.3.0,languages/php/project/coolify/composer.lock
composer,guzzlehttp/psr7,2.8.0,false,false,pkg:composer/guzzlehttp/psr7@2.8.0,languages/php/project/coolify/composer.lock
composer,guzzlehttp/uri-template,v1.0.5,false,false,pkg:composer/guzzlehttp/uri-template@v1.0.5,languages/php/project/coolify/composer.lock
composer,hamcrest/hamcrest-php,v2.1.1,false,true,pkg:composer/hamcrest/hamcrest-php@v2.1.1,languages/php/project/coolify/composer.lock
composer,jean85/pretty-package-versions,2.1.1,false,false,pkg:composer/jean85/pretty-package-versions@2.1.1,languages/php/project/coolify/composer.lock
composer,laravel/boost,v1.8.7,true,true,pkg:composer/laravel/boost@v1.8.7,languages/php/project/coolify/composer.lock
composer,laravel/dusk,v8.3.4,true,true,pkg:composer/laravel/dusk@v8.3.4,languages/php/project/coolify/composer.lock
composer,laravel/fortify,v1.33.0,true,false,pkg:composer/laravel/fortify@v1.33.0,languages/php/project/coolify/composer.lock
composer,laravel/framework,v12.44.0,true,false,pkg:composer/laravel/framework@v12.44.0,languages/php/project/coolify/composer.lock
composer,laravel/horizon,v5.41.0,true,false,pkg:composer/laravel/horizon@v5.41.0,languages/php/project/coolify/composer.lock
composer,laravel/mcp,v0.5.1,false,true,pkg:composer/laravel/mcp@v0.5.1,languages/php/project/coolify/composer.lock
composer,laravel/pail,v1.2.4,true,false,pkg:composer/laravel/pail@v1.2.4,languages/php/project/coolify/composer.lock
composer,laravel/pint,v1.26.0,true,true,pkg:composer/laravel/pint@v1.26.0,languages/php/project/coolify/composer.lock
composer,laravel/prompts,v0.3.8,true,false,pkg:composer/laravel/prompts@v0.3.8,languages/php/project/coolify/composer.lock
composer,laravel/roster,v0.2.9,false,true,pkg:composer/laravel/roster@v0.2.9,languages/php/project/coolify/composer.lock
composer,laravel/sanctum,v4.2.1,true,false,pkg:composer/laravel/sanctum@v4.2.1,languages/php/project/coolify/composer.lock
composer,laravel/serializable-closure,v2.0.7,false,false,pkg:composer/laravel/serializable-closure@v2.0.7,languages/php/project/coolify/composer.lock
composer,laravel/socialite,v5.24.0,true,false,pkg:composer/laravel/socialite@v5.24.0,languages/php/project/coolify/composer.lock
composer,laravel/telescope,v5.16.0,true,true,pkg:composer/laravel/telescope@v5.16.0,languages/php/project/coolify/composer.lock
composer,laravel/tinker,v2.10.2,true,false,pkg:composer/laravel/tinker@v2.10.2,languages/php/project/coolify/composer.lock
composer,laravel/ui,v4.6.1,true,false,pkg:composer/laravel/ui@v4.6.1,languages/php/project/coolify/composer.lock
composer,lcobucci/jwt,5.6.0,true,false,pkg:composer/lcobucci/jwt@5.6.0,languages/php/project/coolify/composer.lock
composer,league/commonmark,2.8.0,false,false,pkg:composer/league/commonmark@2.8.0,languages/php/project/coolify/composer.lock
composer,league/config,v1.2.0,false,false,pkg:composer/league/config@v1.2.0,languages/php/project/coolify/composer.lock
composer,league/flysystem,3.30.2,false,false,pkg:composer/league/flysystem@3.30.2,languages/php/project/coolify/composer.lock
composer,league/flysystem-aws-s3-v3,3.30.1,true,false,pkg:composer/league/flysystem-aws-s3-v3@3.30.1,languages/php/project/coolify/composer.lock
composer,league/flysystem-local,3.30.2,false,false,pkg:composer/league/flysystem-local@3.30.2,languages/php/project/coolify/composer.lock
composer,league/flysystem-sftp-v3,3.30.0,true,false,pkg:composer/league/flysystem-sftp-v3@3.30.0,languages/php/project/coolify/composer.lock
