ecosystem,name,version,direct,dev,purl,manifest
npm,@alloc/quick-lru,5.2.0,false,true,pkg:npm/%40alloc/quick-lru@5.2.0,languages/php/project/coolify/package-lock.json
npm,@babel/helper-string-parser,7.27.1,false,true,pkg:npm/%40babel/helper-string-parser@7.27.1,languages/php/project/coolify/package-lock.json
npm,@babel/helper-validator-identifier,7.28.5,false,true,pkg:npm/%40babel/helper-validator-identifier@7.28.5,languages/php/project/coolify/package-lock.json
npm,@babel/parser,7.28.5,false,true,pkg:npm/%40babel/parser@7.28.5,languages/php/project/coolify/package-lock.json
npm,@babel/types,7.28.5,false,true,pkg:npm/%40babel/types@7.28.5,languages/php/project/coolify/package-lock.json
npm,@esbuild/aix-ppc64,0.27.2,false,true,pkg:npm/%40esbuild/aix-ppc64@0.27.2,languages/php/project/coolify/package-lock.json
npm,@esbuild/android-arm,0.27.2,false,true,pkg:npm/%40esbuild/android-arm@0.27.2,languages/php/project/coolify/package-lock.json
npm,@esbuild/android-arm64,0.27.2,false,true,pkg:npm/%40esbuild/android-arm64@0.27.2,languages/php/project/coolify/package-lock.json
npm,@esbuild/android-x64,0.27.2,false,true,pkg:npm/%40esbuild/android-x64@0.27.2,languages/php/project/coolify/package-lock.json
npm,@esbuild/darwin-arm64,0.27.2,false,true,pkg:npm/%40esbuild/darwin-arm64@0.27.2,languages/php/project/coolify/package-lock.json
npm,@esbuild/darwin-x64,0.27.2,false,true,pkg:npm/%40esbuild/darwin-x64@0.27.2,languages/php/project/coolify/package-lock.json
npm,@esbuild/freebsd-arm64,0.27.2,false,true,pkg:npm/%40esbuild/freebsd-arm64@0.27.2,languages/php/project/coolify/package-lock.json
npm,@esbuild/freebsd-x64,0.27.2,false,true,pkg:npm/%40esbuild/freebsd-x64@0.27.2,languages/php/project/coolify/package-lock.json
npm,@esbuild/linux-arm,0.27.2,false,true,pkg:npm/%40esbuild/linux-arm@0.27.2,languages/php/project/coolify/package-lock.json
npm,@esbuild/linux-arm64,0.27.2,false,true,pkg:npm/%40esbuild/linux-arm64@0.27.2,languages/php/project/coolify/package-lock.json
npm,@esbuild/linux-ia32,0.27.2,false,true,pkg:npm/%40esbuild/linux-ia32@0.27.2,languages/php/project/coolify/package-lock.json
npm,@esbuild/linux-loong64,0.27.2,false,true,pkg:npm/%40esbuild/linux-loong64@0.27.2,languages/php/project/coolify/package-lock.json
npm,@esbuild/linux-mips64el,0.27.2,false,true,pkg:npm/%40esbuild/linux-mips64el@0.27.2,languages/php/project/coolify/package-lock.json
npm,@esbuild/linux-ppc64,0.27.2,false,true,pkg:npm/%40esbuild/linux-ppc64@0.27.2,languages/php/project/coolify/package-lock.json
npm,@esbuild/linux-riscv64,0.27.2,false,true,pkg:npm/%40esbuild/linux-riscv64@0.27.2,languages/php/project/coolify/package-lock.json
npm,@esbuild/linux-s390x,0.27.2,false,true,pkg:npm/%40esbuild/linux-s390x@0.27.2,languages/php/project/coolify/package-lock.json
npm,@esbuild/linux-x64,0.27.2,false,true,pkg:npm/%40esbuild/linux-x64@0.27.2,languages/php/project/coolify/package-lock.json
npm,@esbuild/netbsd-arm64,0.27.2,false,true,pkg:npm/%40esbuild/netbsd-arm64@0.27.2,languages/php/project/coolify/package-lock.json
npm,@esbuild/netbsd-x64,0.27.2,false,true,pkg:npm/%40esbuild/netbsd-x64@0.27.2,languages/php/project/coolify/package-lock.json
