ecosystem,name,version,direct,dev,purl,manifest
composer,brick/math,0.14.8,false,false,pkg:composer/brick/math@0.14.8,languages/php/project/laravel/src/Illuminate/Auth/composer.lock
composer,brick/math,0.14.8,false,false,pkg:composer/brick/math@0.14.8,languages/php/project/laravel/src/Illuminate/Broadcasting/composer.lock
composer,brick/math,0.14.8,true,false,pkg:composer/brick/math@0.14.8,languages/php/project/laravel/src/Illuminate/Database/composer.lock
composer,brick/math,0.14.8,false,false,pkg:composer/brick/math@0.14.8,languages/php/project/laravel/src/Illuminate/Notifications/composer.lock
composer,brick/math,0.14.8,false,false,pkg:composer/brick/math@0.14.8,languages/php/project/laravel/src/Illuminate/Queue/composer.lock
composer,brick/math,0.14.8,true,false,pkg:composer/brick/math@0.14.8,languages/php/project/laravel/src/Illuminate/Validation/composer.lock
composer,carbonphp/carbon-doctrine-types,3.2.0,false,false,pkg:composer/carbonphp/carbon-doctrine-types@3.2.0,languages/php/project/laravel/src/Illuminate/Auth/composer.lock
composer,carbonphp/carbon-doctrine-types,3.2.0,false,false,pkg:composer/carbonphp/carbon-doctrine-types@3.2.0,languages/php/project/laravel/src/Illuminate/Broadcasting/composer.lock
composer,carbonphp/carbon-doctrine-types,3.2.0,false,false,pkg:composer/carbonphp/carbon-doctrine-types@3.2.0,languages/php/project/laravel/src/Illuminate/Bus/composer.lock
composer,carbonphp/carbon-doctrine-types,3.2.0,false,false,pkg:composer/carbonphp/carbon-doctrine-types@3.2.0,languages/php/project/laravel/src/Illuminate/Cache/composer.lock
composer,carbonphp/carbon-doctrine-types,3.2.0,false,false,pkg:composer/carbonphp/carbon-doctrine-types@3.2.0,languages/php/project/laravel/src/Illuminate/Concurrency/composer.lock
composer,carbonphp/carbon-doctrine-types,3.2.0,false,false,pkg:composer/carbonphp/carbon-doctrine-types@3.2.0,languages/php/project/laravel/src/Illuminate/Console/composer.lock
composer,carbonphp/carbon-doctrine-types,3.2.0,false,false,pkg:composer/carbonphp/carbon-doctrine-types@3.2.0,languages/php/project/laravel/src/Illuminate/Cookie/composer.lock
composer,carbonphp/carbon-doctrine-types,3.2.0,false,false,pkg:composer/carbonphp/carbon-doctrine-types@3.2.0,languages/php/project/laravel/src/Illuminate/Database/composer.lock
composer,carbonphp/carbon-doctrine-types,3.2.0,false,false,pkg:composer/carbonphp/carbon-doctrine-types@3.2.0,languages/php/project/laravel/src/Illuminate/Encryption/composer.lock
composer,carbonphp/carbon-doctrine-types,3.2.0,false,false,pkg:composer/carbonphp/carbon-doctrine-types@3.2.0,languages/php/project/laravel/src/Illuminate/Events/composer.lock
composer,carbonphp/carbon-doctrine-types,3.2.0,false,false,pkg:composer/carbonphp/carbon-doctrine-types@3.2.0,languages/php/project/laravel/src/Illuminate/Filesystem/composer.lock
composer,carbonphp/carbon-doctrine-types,3.2.0,false,false,pkg:composer/carbonphp/carbon-doctrine-types@3.2.0,languages/php/project/laravel/src/Illuminate/Hashing/composer.lock
composer,carbonphp/carbon-doctrine-types,3.2.0,false,false,pkg:composer/carbonphp/carbon-doctrine-types@3.2.0,languages/php/project/laravel/src/Illuminate/Http/composer.lock
