ecosystem,name,version,direct,dev,purl,manifest
npm,@emnapi/core,1.4.5,false,true,pkg:npm/%40emnapi/core@1.4.5,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@emnapi/runtime,1.4.5,false,true,pkg:npm/%40emnapi/runtime@1.4.5,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@emnapi/wasi-threads,1.0.4,false,true,pkg:npm/%40emnapi/wasi-threads@1.0.4,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/aix-ppc64,0.25.9,false,true,pkg:npm/%40esbuild/aix-ppc64@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/android-arm,0.25.9,false,true,pkg:npm/%40esbuild/android-arm@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/android-arm64,0.25.9,false,true,pkg:npm/%40esbuild/android-arm64@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/android-x64,0.25.9,false,true,pkg:npm/%40esbuild/android-x64@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/darwin-arm64,0.25.9,false,true,pkg:npm/%40esbuild/darwin-arm64@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/darwin-x64,0.25.9,false,true,pkg:npm/%40esbuild/darwin-x64@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/freebsd-arm64,0.25.9,false,true,pkg:npm/%40esbuild/freebsd-arm64@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/freebsd-x64,0.25.9,false,true,pkg:npm/%40esbuild/freebsd-x64@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/linux-arm,0.25.9,false,true,pkg:npm/%40esbuild/linux-arm@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/linux-arm64,0.25.9,false,true,pkg:npm/%40esbuild/linux-arm64@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/linux-ia32,0.25.9,false,true,pkg:npm/%40esbuild/linux-ia32@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/linux-loong64,0.25.9,false,true,pkg:npm/%40esbuild/linux-loong64@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/linux-mips64el,0.25.9,false,true,pkg:npm/%40esbuild/linux-mips64el@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/linux-ppc64,0.25.9,false,true,pkg:npm/%40esbuild/linux-ppc64@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/linux-riscv64,0.25.9,false,true,pkg:npm/%40esbuild/linux-riscv64@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/linux-s390x,0.25.9,false,true,pkg:npm/%40esbuild/linux-s390x@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/linux-x64,0.25.9,false,true,pkg:npm/%40esbuild/linux-x64@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/netbsd-arm64,0.25.9,false,true,pkg:npm/%40esbuild/netbsd-arm64@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/netbsd-x64,0.25.9,false,true,pkg:npm/%40esbuild/netbsd-x64@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/openbsd-arm64,0.25.9,false,true,pkg:npm/%40esbuild/openbsd-arm64@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/openbsd-x64,0.25.9,false,true,pkg:npm/%40esbuild/openbsd-x64@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/openharmony-arm64,0.25.9,false,true,pkg:npm/%40esbuild/openharmony-arm64@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/sunos-x64,0.25.9,false,true,pkg:npm/%40esbuild/sunos-x64@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/win32-arm64,0.25.9,false,true,pkg:npm/%40esbuild/win32-arm64@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/win32-ia32,0.25.9,false,true,pkg:npm/%40esbuild/win32-ia32@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@esbuild/win32-x64,0.25.9,false,true,pkg:npm/%40esbuild/win32-x64@0.25.9,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@isaacs/fs-minipass,4.0.1,false,true,pkg:npm/%40isaacs/fs-minipass@4.0.1,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@jridgewell/gen-mapping,0.3.13,false,true,pkg:npm/%40jridgewell/gen-mapping@0.3.13,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@jridgewell/remapping,2.3.5,false,true,pkg:npm/%40jridgewell/remapping@2.3.5,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
npm,@jridgewell/resolve-uri,3.1.2,false,true,pkg:npm/%40jridgewell/resolve-uri@3.1.2,languages/php/project/laravel/src/Illuminate/Foundation/resources/exceptions/renderer/package-lock.json
