kind,manifest_file,project_name,name,specifier,group,line
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,blinker,blinker>=1.9.0,project,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,click,click>=8.1.3,project,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,itsdangerous,itsdangerous>=2.2.0,project,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,jinja2,jinja2>=3.1.2,project,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,markupsafe,markupsafe>=2.1.1,project,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,werkzeug,werkzeug>=3.1.0,project,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,asgiref,asgiref>=3.2,optional:async,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,python-dotenv,python-dotenv,optional:dotenv,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,ruff,ruff,group:dev,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,tox,tox,group:dev,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,tox-uv,tox-uv,group:dev,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,pallets-sphinx-themes,pallets-sphinx-themes,group:docs,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,sphinx,sphinx<9,group:docs,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,sphinx-tabs,sphinx-tabs,group:docs,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,sphinxcontrib-log-cabinet,sphinxcontrib-log-cabinet,group:docs,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,sphinx-autobuild,sphinx-autobuild,group:docs-auto,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,gha-update,gha-update ; python_full_version >= '3.12',group:gha-update,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,pre-commit,pre-commit,group:pre-commit,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,pre-commit-uv,pre-commit-uv,group:pre-commit,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,asgiref,asgiref,group:tests,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,greenlet,greenlet,group:tests,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,pytest,pytest,group:tests,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,python-dotenv,python-dotenv,group:tests,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,asgiref,asgiref,group:typing,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,cryptography,cryptography,group:typing,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,mypy,mypy,group:typing,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,pyright,pyright,group:typing,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,pytest,pytest,group:typing,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,python-dotenv,python-dotenv,group:typing,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,types-contextvars,types-contextvars,group:typing,0
pyproject.toml,languages/python/project/flask/pyproject.toml,Flask,types-dataclasses,types-dataclasses,group:typing,0
