kind,manifest_file,project_name,package,version,source_kind,source
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,annotated-types,0.7.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,anyio,4.12.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,appnope,0.1.4,registry,https://pypi.org/simple
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,argon2-cffi,25.1.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,argon2-cffi-bindings,25.1.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,arrow,1.4.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,asttokens,3.0.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,async-lru,2.0.5,registry,https://pypi.org/simple
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,attrs,25.4.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,babel,2.17.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,backports-asyncio-runner,1.2.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,beautifulsoup4,4.14.3,registry,https://pypi.org/simple
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,bleach,6.3.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,blockbuster,1.5.26,registry,https://pypi.org/simple
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,certifi,2025.11.12,registry,https://pypi.org/simple
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,cffi,2.0.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,charset-normalizer,3.4.4,registry,https://pypi.org/simple
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,colorama,0.4.6,registry,https://pypi.org/simple
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,comm,0.2.3,registry,https://pypi.org/simple
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,debugpy,1.8.17,registry,https://pypi.org/simple
uv.lock,languages/python/project/langchain/libs/core/uv.lock,langchain-core,decorator,5.2.1,registry,https://pypi.org/simple
